"number","frame.time","ip.src","ip.dst","tcp.port","frame.len"
"97","Oct 22, 2017 12:46:44.369641000 CEST","23.211.10.90","192.168.1.142","443","268"
"98","Oct 22, 2017 12:46:44.369671000 CEST","192.168.1.142","23.211.10.90","54406","66"
"99","Oct 22, 2017 12:46:44.369695000 CEST","23.211.10.90","192.168.1.142","443","194"
"100","Oct 22, 2017 12:46:44.369724000 CEST","192.168.1.142","23.211.10.90","54406","66"
"101","Oct 22, 2017 12:46:44.369748000 CEST","23.211.10.90","192.168.1.142","443","110"
"102","Oct 22, 2017 12:46:44.435309000 CEST","192.168.1.142","23.211.10.90","54410","74"
"103","Oct 22, 2017 12:46:44.439369000 CEST","23.211.10.90","192.168.1.142","443","74"
"104","Oct 22, 2017 12:46:44.439487000 CEST","192.168.1.142","23.211.10.90","54410","66"
"105","Oct 22, 2017 12:46:44.450688000 CEST","192.168.1.142","23.211.10.90","54410","260"
"106","Oct 22, 2017 12:46:44.450974000 CEST","192.168.1.142","23.211.9.229","35022","74"
"107","Oct 22, 2017 12:46:44.453264000 CEST","192.168.1.142","23.211.9.229","35024","74"
"108","Oct 22, 2017 12:46:44.453480000 CEST","192.168.1.142","23.211.9.229","35026","74"
"109","Oct 22, 2017 12:46:44.457816000 CEST","23.211.10.90","192.168.1.142","443","66"
"110","Oct 22, 2017 12:46:44.457925000 CEST","23.211.9.229","192.168.1.142","443","74"
"111","Oct 22, 2017 12:46:44.458005000 CEST","192.168.1.142","23.211.9.229","35022","66"
"112","Oct 22, 2017 12:46:44.458227000 CEST","192.168.1.142","23.211.9.229","35022","255"
"113","Oct 22, 2017 12:46:44.458495000 CEST","23.211.10.90","192.168.1.142","443","1506"
"114","Oct 22, 2017 12:46:44.458552000 CEST","192.168.1.142","23.211.10.90","54410","66"
"115","Oct 22, 2017 12:46:44.458577000 CEST","23.211.10.90","192.168.1.142","443","1506"
"116","Oct 22, 2017 12:46:44.458606000 CEST","192.168.1.142","23.211.10.90","54410","66"
"117","Oct 22, 2017 12:46:44.458630000 CEST","23.211.10.90","192.168.1.142","443","1282"
"118","Oct 22, 2017 12:46:44.458668000 CEST","192.168.1.142","23.211.10.90","54410","66"
"119","Oct 22, 2017 12:46:44.460144000 CEST","23.211.10.90","192.168.1.142","443","603"
"120","Oct 22, 2017 12:46:44.460214000 CEST","192.168.1.142","23.211.10.90","54410","66"
"121","Oct 22, 2017 12:46:44.461165000 CEST","23.211.9.229","192.168.1.142","443","74"
"122","Oct 22, 2017 12:46:44.461261000 CEST","192.168.1.142","23.211.9.229","35024","66"
"123","Oct 22, 2017 12:46:44.461329000 CEST","23.211.9.229","192.168.1.142","443","74"
"124","Oct 22, 2017 12:46:44.461373000 CEST","192.168.1.142","23.211.9.229","35026","66"
"125","Oct 22, 2017 12:46:44.463033000 CEST","23.211.9.229","192.168.1.142","443","66"
"126","Oct 22, 2017 12:46:44.463478000 CEST","23.211.9.229","192.168.1.142","443","1506"
"127","Oct 22, 2017 12:46:44.463539000 CEST","192.168.1.142","23.211.9.229","35022","66"
"128","Oct 22, 2017 12:46:44.463829000 CEST","23.211.9.229","192.168.1.142","443","1506"
"129","Oct 22, 2017 12:46:44.463877000 CEST","192.168.1.142","23.211.9.229","35022","66"
"130","Oct 22, 2017 12:46:44.464645000 CEST","23.211.9.229","192.168.1.142","443","1282"
"131","Oct 22, 2017 12:46:44.464724000 CEST","192.168.1.142","23.211.9.229","35022","66"
"132","Oct 22, 2017 12:46:44.464876000 CEST","192.168.1.142","23.211.10.90","54410","192"
"133","Oct 22, 2017 12:46:44.464880000 CEST","23.211.9.229","192.168.1.142","443","738"
"134","Oct 22, 2017 12:46:44.464918000 CEST","192.168.1.142","23.211.9.229","35022","66"
"135","Oct 22, 2017 12:46:44.469355000 CEST","192.168.1.142","23.211.9.229","35022","192"
"136","Oct 22, 2017 12:46:44.470370000 CEST","192.168.1.142","23.211.10.90","54410","240"
