frame.number,frame.time,ip.src,ip.dst,tcp.port,frame.len
"165","Oct 22, 2017 12:46:47.601681000 CEST",,,"50046","520"
"166","Oct 22, 2017 12:46:47.601797000 CEST","192.168.1.142","93.184.220.29","35402","505"
"167","Oct 22, 2017 12:46:47.613013000 CEST",,,"80","1506"
"168","Oct 22, 2017 12:46:47.613109000 CEST",,,"50046","86"
"169","Oct 22, 2017 12:46:47.613142000 CEST",,,"80","631"
"170","Oct 22, 2017 12:46:47.613188000 CEST",,,"50046","86"
"171","Oct 22, 2017 12:46:47.614807000 CEST","93.184.220.29","192.168.1.142","80","854"
"172","Oct 22, 2017 12:46:47.614890000 CEST","192.168.1.142","93.184.220.29","35402","66"
"173","Oct 22, 2017 12:46:47.691011000 CEST","192.168.1.142","93.184.220.29","35396","505"
"174","Oct 22, 2017 12:46:47.704697000 CEST","93.184.220.29","192.168.1.142","80","66"
"175","Oct 22, 2017 12:46:47.706421000 CEST","93.184.220.29","192.168.1.142","80","854"
"176","Oct 22, 2017 12:46:47.706498000 CEST","192.168.1.142","93.184.220.29","35396","66"
"177","Oct 22, 2017 12:46:47.738780000 CEST","192.168.1.142","93.184.220.29","35402","505"
"178","Oct 22, 2017 12:46:47.741160000 CEST",,,"55062","94"
"179","Oct 22, 2017 12:46:47.741283000 CEST","192.168.1.142","93.184.220.29","35426","74"
"180","Oct 22, 2017 12:46:47.748204000 CEST",,,"80","94"
"181","Oct 22, 2017 12:46:47.748295000 CEST",,,"55062","86"
"182","Oct 22, 2017 12:46:47.750640000 CEST","93.184.220.29","192.168.1.142","80","854"
"183","Oct 22, 2017 12:46:47.750701000 CEST","192.168.1.142","93.184.220.29","35402","66"
"184","Oct 22, 2017 12:46:47.752711000 CEST","93.184.220.29","192.168.1.142","80","74"
"185","Oct 22, 2017 12:46:47.752791000 CEST","192.168.1.142","93.184.220.29","35426","66"
"186","Oct 22, 2017 12:46:47.931693000 CEST",,,"55062","520"
"187","Oct 22, 2017 12:46:47.932917000 CEST",,,"50208","94"
"188","Oct 22, 2017 12:46:47.933057000 CEST",,,"50210","94"
